benchmark,metric_name,decoder,decoder_label,score_mean,score_std,num_examples,decision_margin_mean,correct_margin_mean,format_valid_rate,latency_seconds_mean,decoder_steps_mean,forward_passes_mean,latency_per_step_ms_mean,latency_per_forward_ms_mean,steps_per_second_mean,tokens_per_forward_mean,factual_speedup_mean,avg_alpha,alpha_std,avg_selected_layer,switch_rate,selected_layer_match_rate,refresh_rate,avg_instability,avg_risk_score,trigger_rate,avg_jsd_current,avg_oracle_jsd_gap,avg_selection_margin,avg_selection_score,fallback_rate,avg_baseline_margin,avg_jacobi_passes,avg_jacobi_window_size,avg_jacobi_stable_prefix,avg_jacobi_commit_len,jacobi_convergence_rate,panda_disagreement_rate,panda_truth_selection_rate,avg_panda_divergence,avg_panda_safe_confidence,avg_panda_truth_confidence,avg_panda_agreement_prefix,panda_arbitration_rate,score_sem
truthfulqa,mc1,dola,dola,0.28,0.4535573676110727,50,-1959.741134338379,-1959.741134338379,,14.263482800060082,118.8,118.8,120.03133604622776,120.03133604622776,8.332483980673906,1.0,1.0,,,6.0,0.0,,,,,,0.0009444963040027046,,,0.0009444963040027046,,,,,,,,,,,,,,,0.06414269805898185
truthfulqa,mc1,fanda,fanda,0.3,0.46291004988627565,50,-201.48564371721633,-201.48564371721633,,14.530222502560319,118.8,118.8,122.15096636576337,122.15096636576337,8.18840738980116,1.0,1.0,1.0,0.0,0.0,0.0,0.9736346986346986,0.18792757242757244,9.537608945903616,0.6874046331136693,0.9918253968253968,0.6931471702173105,2.342140334522384e-09,-0.03135076516733307,-0.12569076833221188,0.0,8.793387654012655,,,,,,0.9918253968253968,1.0,0.6874046331136693,0.9240856799375406,0.8993086079898499,,0.0,0.0654653670707977
truthfulqa,mc1,pure_greedy,pure_greedy,0.28,0.4535573676110726,50,-21.077932386095725,-21.077932386095725,,5.4493459711005565,118.8,118.8,45.964952665808,45.964952665808,21.78812092638786,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06414269805898185
truthfulqa,mc2,dola,dola,0.4900000000000009,0.49989794876921884,50,-28.67388153076172,-28.67388153076172,,14.263482800060082,118.8,118.8,120.03133604622776,120.03133604622776,8.332483980673906,1.0,1.0,,,6.0,0.0,,,,,,0.0009444963040027046,,,0.0009444963040027046,,,,,,,,,,,,,,,0.070696245895192
truthfulqa,mc2,fanda,fanda,0.5870335558296738,0.49266557181788806,50,17.57871524589125,17.57871524589125,,14.530222502560319,118.8,118.8,122.15096636576337,122.15096636576337,8.18840738980116,1.0,1.0,1.0,0.0,0.0,0.0,0.9736346986346986,0.18792757242757244,9.537608945903616,0.6874046331136693,0.9918253968253968,0.6931471702173105,2.342140334522384e-09,-0.03135076516733307,-0.12569076833221188,0.0,8.793387654012655,,,,,,0.9918253968253968,1.0,0.6874046331136693,0.9240856799375406,0.8993086079898499,,0.0,0.06967343333791534
truthfulqa,mc2,pure_greedy,pure_greedy,0.43173815838633844,0.4769980958716427,50,-3.7940195477681926,-3.7940195477681926,,5.4493459711005565,118.8,118.8,45.964952665808,45.964952665808,21.78812092638786,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0674577176407819
truthfulqa,mc3,dola,dola,0.2723333333333333,0.35089147885346655,50,-1954.148150217692,-1954.148150217692,,14.263482800060082,118.8,118.8,120.03133604622776,120.03133604622776,8.332483980673906,1.0,1.0,,,6.0,0.0,,,,,,0.0009444963040027046,,,0.0009444963040027046,,,,,,,,,,,,,,,0.049623548831572446
truthfulqa,mc3,fanda,fanda,0.2843333333333333,0.31999521680098625,50,-203.15433031173833,-203.15433031173833,,14.530222502560319,118.8,118.8,122.15096636576337,122.15096636576337,8.18840738980116,1.0,1.0,1.0,0.0,0.0,0.0,0.9736346986346986,0.18792757242757244,9.537608945903616,0.6874046331136693,0.9918253968253968,0.6931471702173105,2.342140334522384e-09,-0.03135076516733307,-0.12569076833221188,0.0,8.793387654012655,,,,,,0.9918253968253968,1.0,0.6874046331136693,0.9240856799375406,0.8993086079898499,,0.0,0.04525415754944736
truthfulqa,mc3,pure_greedy,pure_greedy,0.248,0.3540923691576699,50,-26.355639804412,-26.355639804412,,5.4493459711005565,118.8,118.8,45.964952665808,45.964952665808,21.78812092638786,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05007622307955974
