benchmark,metric_name,decoder,decoder_label,score_mean,score_std,num_examples,decision_margin_mean,correct_margin_mean,format_valid_rate,latency_seconds_mean,decoder_steps_mean,forward_passes_mean,latency_per_step_ms_mean,latency_per_forward_ms_mean,steps_per_second_mean,tokens_per_forward_mean,factual_speedup_mean,avg_alpha,alpha_std,avg_selected_layer,switch_rate,selected_layer_match_rate,refresh_rate,avg_instability,avg_risk_score,trigger_rate,avg_jsd_current,avg_oracle_jsd_gap,avg_selection_margin,avg_selection_score,fallback_rate,avg_baseline_margin,avg_jacobi_passes,avg_jacobi_window_size,avg_jacobi_stable_prefix,avg_jacobi_commit_len,jacobi_convergence_rate,panda_disagreement_rate,panda_truth_selection_rate,avg_panda_divergence,avg_panda_safe_confidence,avg_panda_truth_confidence,avg_panda_agreement_prefix,panda_arbitration_rate,score_sem
truthfulqa,mc1,dola,dola,0.26,0.4430874976934521,50,-1363.097749345538,-1363.097749345538,,9.471975322960935,120.5,120.5,78.6735712902095,78.6735712902095,12.719508015483825,1.0,1.0,,,2.709906593406594,0.7312772227772228,,,,,,6.929794738606265e-05,,,6.929794738606265e-05,,,,,,,,,,,,,,,0.06266203485560375
truthfulqa,mc1,fanda,fanda,0.4,0.49487165930539356,50,-17.281290573134505,-17.281290573134505,,9.667891232040565,120.5,120.5,80.43157703047805,80.43157703047805,12.43988356783373,1.0,1.0,1.0,0.0,4.28,0.0,0.25879331779331777,0.1645170385170385,12.37695326020544,0.23639308716516882,0.38949403374403374,0.6891507345895107,0.0036711648010198787,-0.05765464615591073,-0.3483583337916596,0.0,5.2140752251221,,,,,,0.38949403374403374,1.0,0.23639308716516882,0.8047036712510014,0.756233911523821,,0.0,0.06998542122237653
truthfulqa,mc1,panda_switch,panda_switch,0.34,0.4785181206984064,50,-14.433467924123358,-14.433467924123358,,20.97156922248032,120.5,240.9,173.87499825660515,86.96423708214998,5.753334461032105,0.5001504757013232,0.5001504757013232,0.18164357864357863,0.27037657296865597,2.2889751033280445,0.6391820401820402,,,12.550850836470579,0.21591788917995305,0.35887966445319386,0.6928238444034497,,-0.06917812173164788,0.8513933096748743,0.8183564213564213,5.369967064185814,2.0,3.1353237938532055,1.0245978270095917,1.0245978270095917,0.1553031772149419,0.35887966445319386,0.18164357864357863,0.21591788917995305,0.8182315322687174,0.7490534105370696,1.3598265198853434,0.35887966445319386,0.06767268161329719
truthfulqa,mc1,pure_greedy,pure_greedy,0.34,0.47851812069840644,50,-11.819004511167885,-11.819004511167885,,4.714047856639372,120.5,120.5,39.20303113032709,39.20303113032709,25.58040973947212,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0676726816132972
truthfulqa,mc1,top_k,top_k,0.34,0.47851812069840644,50,-11.813008345303654,-11.813008345303654,,4.726399662160402,120.5,120.5,39.28443079635759,39.28443079635759,25.510064526879916,1.0,1.0,,,,,,,,,,,,,0.00033430131801686687,0.1381308217925865,,,,,,,,,,,,,,0.0676726816132972
truthfulqa,mc1,top_p,top_p,0.36,0.48487322138506117,50,-11.755067662298678,-11.755067662298678,,4.729328635560669,120.5,120.5,39.33495286718651,39.33495286718651,25.46783856975377,1.0,1.0,,,,,,,,,,,,,2.324550063106315e-05,0.3797089185324479,,,,,,,,,,,,,,0.06857142857142857
truthfulqa,mc2,dola,dola,0.526359490793537,0.4860106659974198,50,-82.46916106574346,-82.46916106574346,,9.471975322960935,120.5,120.5,78.6735712902095,78.6735712902095,12.719508015483825,1.0,1.0,,,2.709906593406594,0.7312772227772228,,,,,,6.929794738606265e-05,,,6.929794738606265e-05,,,,,,,,,,,,,,,0.06873228753115315
truthfulqa,mc2,fanda,fanda,0.5568607955725654,0.4857326840044235,50,-2.948536977031364,-2.948536977031364,,9.667891232040565,120.5,120.5,80.43157703047805,80.43157703047805,12.43988356783373,1.0,1.0,1.0,0.0,4.28,0.0,0.25879331779331777,0.1645170385170385,12.37695326020544,0.23639308716516882,0.38949403374403374,0.6891507345895107,0.0036711648010198787,-0.05765464615591073,-0.3483583337916596,0.0,5.2140752251221,,,,,,0.38949403374403374,1.0,0.23639308716516882,0.8047036712510014,0.756233911523821,,0.0,0.06869297494069405
truthfulqa,mc2,panda_switch,panda_switch,0.5624286304450689,0.47848312041666524,50,-0.04370743173323546,-0.04370743173323546,,20.97156922248032,120.5,240.9,173.87499825660515,86.96423708214998,5.753334461032105,0.5001504757013232,0.5001504757013232,0.18164357864357863,0.27037657296865597,2.2889751033280445,0.6391820401820402,,,12.550850836470579,0.21591788917995305,0.35887966445319386,0.6928238444034497,,-0.06917812173164788,0.8513933096748743,0.8183564213564213,5.369967064185814,2.0,3.1353237938532055,1.0245978270095917,1.0245978270095917,0.1553031772149419,0.35887966445319386,0.18164357864357863,0.21591788917995305,0.8182315322687174,0.7490534105370696,1.3598265198853434,0.35887966445319386,0.06766773182598468
truthfulqa,mc2,pure_greedy,pure_greedy,0.530732138175678,0.4717984819637182,50,0.1804036342790033,0.1804036342790033,,4.714047856639372,120.5,120.5,39.20303113032709,39.20303113032709,25.58040973947212,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06672238119001284
truthfulqa,mc2,top_k,top_k,0.5306879394685953,0.47167673532135784,50,0.17509147454119386,0.17509147454119386,,4.726399662160402,120.5,120.5,39.28443079635759,39.28443079635759,25.510064526879916,1.0,1.0,,,,,,,,,,,,,0.00033430131801686687,0.1381308217925865,,,,,,,,,,,,,,0.06670516361473289
truthfulqa,mc2,top_p,top_p,0.5315741761303079,0.4710538449245862,50,0.22399114176630974,0.22399114176630974,,4.729328635560669,120.5,120.5,39.33495286718651,39.33495286718651,25.46783856975377,1.0,1.0,,,,,,,,,,,,,2.324550063106315e-05,0.3797089185324479,,,,,,,,,,,,,,0.06661707361003424
truthfulqa,mc3,dola,dola,0.268,0.33246212680489967,50,-1469.8331550010607,-1469.8331550010607,,9.471975322960935,120.5,120.5,78.6735712902095,78.6735712902095,12.719508015483825,1.0,1.0,,,2.709906593406594,0.7312772227772228,,,,,,6.929794738606265e-05,,,6.929794738606265e-05,,,,,,,,,,,,,,,0.04701724487028928
truthfulqa,mc3,fanda,fanda,0.3643333333333333,0.39651271808216576,50,-21.052880718279788,-21.052880718279788,,9.667891232040565,120.5,120.5,80.43157703047805,80.43157703047805,12.43988356783373,1.0,1.0,1.0,0.0,4.28,0.0,0.25879331779331777,0.1645170385170385,12.37695326020544,0.23639308716516882,0.38949403374403374,0.6891507345895107,0.0036711648010198787,-0.05765464615591073,-0.3483583337916596,0.0,5.2140752251221,,,,,,0.38949403374403374,1.0,0.23639308716516882,0.8047036712510014,0.756233911523821,,0.0,0.056075366356521834
