sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc2,top_k,top_p,50,-0.0008862366617125905,-6.456393575007242e-11,0.36,0.0,0.64
,truthfulqa,mc2,top_p,dola,50,0.005214685336770779,-2.6922810749884928e-14,0.5,0.0,0.5
,truthfulqa,mc2,top_p,fanda,50,-0.02528661944225754,3.1682750509303654e-09,0.64,0.0,0.36
,truthfulqa,mc2,top_p,panda_switch,50,-0.03085445431476099,3.4943937482616563e-12,0.56,0.0,0.44
,truthfulqa,mc2,top_p,pure_greedy,50,0.000842037954629814,5.132463801143674e-11,0.66,0.0,0.34
,truthfulqa,mc2,top_p,top_k,50,0.0008862366617125905,6.456393575007242e-11,0.64,0.0,0.36
,truthfulqa,mc3,dola,fanda,50,-0.09633333333333333,0.0,0.1,0.62,0.28
,truthfulqa,mc3,dola,panda_switch,50,-0.05566666666666666,0.0,0.12,0.64,0.24
,truthfulqa,mc3,dola,pure_greedy,50,-0.03900000000000001,0.0,0.14,0.66,0.2
,truthfulqa,mc3,dola,top_k,50,-0.03900000000000001,0.0,0.14,0.66,0.2
,truthfulqa,mc3,dola,top_p,50,-0.045666666666666675,0.0,0.14,0.66,0.2
,truthfulqa,mc3,fanda,dola,50,0.09633333333333333,0.0,0.28,0.62,0.1
,truthfulqa,mc3,fanda,panda_switch,50,0.04066666666666667,0.0,0.2,0.68,0.12
,truthfulqa,mc3,fanda,pure_greedy,50,0.05733333333333333,0.0,0.24,0.66,0.1
,truthfulqa,mc3,fanda,top_k,50,0.05733333333333333,0.0,0.24,0.66,0.1
,truthfulqa,mc3,fanda,top_p,50,0.050666666666666665,0.0,0.24,0.64,0.12
,truthfulqa,mc3,panda_switch,dola,50,0.05566666666666666,0.0,0.24,0.64,0.12
,truthfulqa,mc3,panda_switch,fanda,50,-0.04066666666666667,0.0,0.12,0.68,0.2
,truthfulqa,mc3,panda_switch,pure_greedy,50,0.01666666666666667,0.0,0.14,0.78,0.08
,truthfulqa,mc3,panda_switch,top_k,50,0.01666666666666667,0.0,0.14,0.78,0.08
,truthfulqa,mc3,panda_switch,top_p,50,0.01,0.0,0.14,0.76,0.1
,truthfulqa,mc3,pure_greedy,dola,50,0.03900000000000001,0.0,0.2,0.66,0.14
,truthfulqa,mc3,pure_greedy,fanda,50,-0.05733333333333333,0.0,0.1,0.66,0.24
,truthfulqa,mc3,pure_greedy,panda_switch,50,-0.01666666666666667,0.0,0.08,0.78,0.14
,truthfulqa,mc3,pure_greedy,top_k,50,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc3,pure_greedy,top_p,50,-0.006666666666666666,0.0,0.0,0.98,0.02
,truthfulqa,mc3,top_k,dola,50,0.03900000000000001,0.0,0.2,0.66,0.14
,truthfulqa,mc3,top_k,fanda,50,-0.05733333333333333,0.0,0.1,0.66,0.24
,truthfulqa,mc3,top_k,panda_switch,50,-0.01666666666666667,0.0,0.08,0.78,0.14
,truthfulqa,mc3,top_k,pure_greedy,50,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc3,top_k,top_p,50,-0.006666666666666666,0.0,0.0,0.98,0.02
,truthfulqa,mc3,top_p,dola,50,0.045666666666666675,0.0,0.2,0.66,0.14
,truthfulqa,mc3,top_p,fanda,50,-0.050666666666666665,0.0,0.12,0.64,0.24
,truthfulqa,mc3,top_p,panda_switch,50,-0.01,0.0,0.1,0.76,0.14
,truthfulqa,mc3,top_p,pure_greedy,50,0.006666666666666666,0.0,0.02,0.98,0.0
,truthfulqa,mc3,top_p,top_k,50,0.006666666666666666,0.0,0.02,0.98,0.0
